observation_key,product,source_kind,source_url,date_text,observed_date,date_precision,source_updated_at,fetched_at,value_text,value_qualifier,session,evidence_note
fmkorea-10360993528-2026-06-10,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/10,2026-06-10,day,,,44.50,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-06-16,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/16,2026-06-16,day,,,45.23,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-06-18,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/18,2026-06-18,day,,,46.00,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-06-25,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/25,2026-06-25,day,,,46.73,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-07-06,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,7/6,2026-07-06,day,,,47.00,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-07-09,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,7/9,2026-07-09,day,,,47.76,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-07-15,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,7/15,2026-07-15,day,,,48.56,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-07-21,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,7/21,2026-07-21,day,,,50.00,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-07-24,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,7/24,2026-07-24,day,,,50.83,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-08-03,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,8/3,2026-08-03,day,,,51.33,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-08-10,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,8/10,2026-08-10,day,,,51.76,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-08-13,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,8/13,2026-08-13,day,,,52.70,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-08-20,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,8/20,2026-08-20,day,,,53.43,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-08-21,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,8/21,2026-08-21,day,,,54.10,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-09-02,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,9/2,2026-09-02,day,,,54.25,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-09-07,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,9/7,2026-09-07,day,,,54.30,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-09-17,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,9/17,2026-09-17,day,,,55.23,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-09-18,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,9/18,2026-09-18,day,,,56.00,reported,,Year 2026 is inferred from the 2026-09-21 community post; bold 9/18 entry transcribed from the post body.
fmkorea-10360993528-2026-09-21,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,9/21,2026-09-21,day,2026-09-21T14:40:00+08:00,,56.933,displayed,middle,Year 2026 is inferred from the 2026-09-21 community post; screenshot shows 56.933 at 14:40+08 in the middle session; post body shows rounded 56.93; kept as one observation.
